1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.91183,-1.0837,-0.74612,-0.85165,0.31662,-0.36173,-0.38403,-0.48213,0.0052203,-0.50413,-0.30095,0.25155,-0.36173,0.60826,0
-0.61083,1.1077,-0.25255,-0.56035,1.1685,0.47588,-0.95889,-0.86166,2.1432,0.19189,0.51757,-0.13108,0.47588,0.30585,0
-0.60617,-1.084,-0.76227,-0.5552,-0.42772,-0.3618,0.28852,0.20956,-0.88643,-0.28613,-0.48202,-0.46072,-0.3618,0.30084,0
-0.60846,1.6409,0.07109,-0.55774,1.6384,2.4911,-1.3332,-1.0756,1.3911,0.48789,1.0898,0.15921,2.4911,0.3033,0
-1.5306,-0.06177,-1.3417,-1.7493,-0.022303,1.1446,-1.2595,-1.0666,-0.66155,-0.83501,-0.26023,0.82827,1.1446,1.8518,0
-0.91667,-0.95689,-0.89523,-1.1535,0.18272,-0.36296,-0.65535,-0.64965,-0.55476,-0.71259,0.27523,1.5981,-0.36296,0.96639,0
-0.60696,2.0673,0.30186,-0.25938,1.5982,2.9961,-1.5094,-1.1245,-0.14087,0.38093,0.29013,0.50827,2.9961,0.030089,0
-0.92737,1.1947,-0.48807,-0.86904,1.0442,2.311,-1.3499,-1.0974,0.10643,-0.15534,0.11121,0.46139,2.311,0.62757,0
-0.60832,1.8001,0.3169,-0.26097,1.308,2.9947,-1.702,-1.2207,-0.057864,0.87445,0.81707,-0.64199,2.9947,0.031458,0
-0.61368,1.2618,-0.13545,-0.56353,1.1287,1.6481,-1.1355,-0.97879,3.9773,-0.43341,-0.007685,0.56638,1.6481,0.30894,0
-0.91488,1.7456,-0.25037,-0.85507,1.3862,2.0709,-1.1011,-0.92582,-0.55345,0.034419,0.83881,1.1796,2.0709,0.61204,0
-0.60502,1.2758,-0.060143,-0.25709,0.58547,1.3183,-1.0615,-0.8841,0.54572,0.076974,0.45604,0.15806,1.3183,0.028119,0
-0.42612,1.5332,1.0379,2.4062,0.24529,2.3223,-2.6847,-1.3425,-0.14094,-0.21637,0.71948,1.4219,2.3223,-1.4724,0
-0.00094779,-0.11118,0.11682,0.031085,0.1941,-0.1116,-0.43073,-0.61992,0.31298,-0.31744,-0.044012,0.24273,-0.1116,-0.20654,0
-1.0439,1.2571,-0.2665,-0.86279,1.1678,2.6512,-1.6059,-1.1921,0.14686,0.17645,-0.19114,-1.1701,2.6512,0.62062,0
-0.92298,1.2551,0.047226,-0.27226,1.0522,2.985,-1.7965,-1.2195,0.14348,0.6045,-0.34558,-1.466,2.985,0.041211,0
0.67646,1.0063,1.2695,0.92605,1.7036,0.22534,-1.0196,-1.0029,-0.56323,2.1963,1.3159,-1.8295,0.22534,-0.79688,0
-0.91841,1.5275,-0.0012354,-0.56273,1.1485,2.99,-1.6989,-1.1487,-0.64095,0.46824,-0.51463,-1.5176,2.99,0.30816,0
